Survey,Substrate,Order,Replica,Taxa,N,Nkg
A,ASU,Amphipoda,a,15,35,11.7
A,ASU,Amphipoda,b,4,32,10.7
A,ASU,Cumacea,a,1,1,0.3
A,ASU,Cumacea,b,0,0,0
A,ASU,Decapoda,a,28,78,26
A,ASU,Decapoda,b,3,4,1.3
A,ASU,Isopoda,a,13,50,16.7
A,ASU,Isopoda,b,10,19,6.3
A,ASU,Tanaidacea,a,7,57,19
A,ASU,Tanaidacea,b,3,11,3.7
A,CR,Amphipoda,a,10,52,17.3
A,CR,Amphipoda,b,6,14,4.7
A,CR,Cumacea,a,3,4,1.3
A,CR,Cumacea,b,2,2,0.7
A,CR,Decapoda,a,7,11,3.7
A,CR,Decapoda,b,7,8,2.7
A,CR,Isopoda,a,16,130,43.3
A,CR,Isopoda,b,14,49,16.3
A,CR,Tanaidacea,a,10,584,194.7
A,CR,Tanaidacea,b,10,53,17.7
B,ASU,Amphipoda,a,0,0,0
B,ASU,Amphipoda,b,9,32,10.7
B,ASU,Cumacea,a,0,0,0
B,ASU,Cumacea,b,0,0,0
B,ASU,Decapoda,a,4,33,11
B,ASU,Decapoda,b,8,17,5.7
B,ASU,Isopoda,a,7,27,9
B,ASU,Isopoda,b,15,84,28
B,ASU,Tanaidacea,a,0,0,0
B,ASU,Tanaidacea,b,4,29,9.7
B,CR,Amphipoda,a,3,4,1.3
B,CR,Amphipoda,b,7,52,17.3
B,CR,Cumacea,a,1,1,0.3
B,CR,Cumacea,b,4,4,1.3
B,CR,Decapoda,a,4,5,1.7
B,CR,Decapoda,b,8,14,4.7
B,CR,Isopoda,a,5,16,5.3
B,CR,Isopoda,b,10,23,7.7
B,CR,Tanaidacea,a,6,50,16.7
B,CR,Tanaidacea,b,9,69,23
C,ASU,Amphipoda,a,2,2,0.7
C,ASU,Amphipoda,b,2,2,0.7
C,ASU,Cumacea,a,0,0,0
C,ASU,Cumacea,b,2,3,1
C,ASU,Decapoda,a,8,12,4
C,ASU,Decapoda,b,5,9,3
C,ASU,Isopoda,a,3,3,1
C,ASU,Isopoda,b,3,3,1
C,ASU,Tanaidacea,a,3,12,4
C,ASU,Tanaidacea,b,1,1,0.3
C,CR,Amphipoda,a,6,12,4
C,CR,Amphipoda,b,10,33,11
C,CR,Cumacea,a,2,2,0.7
C,CR,Cumacea,b,3,3,1
C,CR,Decapoda,a,3,4,1.3
C,CR,Decapoda,b,3,5,1.7
C,CR,Isopoda,a,12,56,18.7
C,CR,Isopoda,b,18,77,25.7
C,CR,Tanaidacea,a,11,241,80.3
C,CR,Tanaidacea,b,9,106,35.3
D,ASU,Amphipoda,a,9,24,8
D,ASU,Amphipoda,b,10,32,10.7
D,ASU,Cumacea,a,0,0,0
D,ASU,Cumacea,b,3,7,2.3
D,ASU,Decapoda,a,4,5,1.7
D,ASU,Decapoda,b,16,29,9.7
D,ASU,Isopoda,a,3,7,2.3
D,ASU,Isopoda,b,16,74,24.7
D,ASU,Tanaidacea,a,7,52,17.3
D,ASU,Tanaidacea,b,8,82,27.3
D,CR,Amphipoda,a,9,16,5.3
D,CR,Amphipoda,b,7,12,4
D,CR,Cumacea,a,3,3,1
D,CR,Cumacea,b,2,2,0.7
D,CR,Decapoda,a,16,20,6.7
D,CR,Decapoda,b,6,11,3.7
D,CR,Isopoda,a,7,13,4.3
D,CR,Isopoda,b,7,74,24.7
D,CR,Tanaidacea,a,5,13,4.3
D,CR,Tanaidacea,b,6,24,8
