Taxa,ASUs,CR,Total
Accalathura crenulata,2,2,4
Alloleptochelia longimana,0,3,3
Alpheus amblyonyx,5,4,9
Alpheus armatus,2,1,3
Alpheus barbadensis,2,1,3
Alpheus bouvieri,0,1,1
Alpheus cylindricus,2,4,6
Alpheus floridanus,1,1,2
Alpheus formosus,2,2,4
Alpheus malleator,0,3,3
Alpheus normanni,1,1,2
Alpheus paracrinitus,0,1,1
Alpheus sp ,18,4,22
Amakusanthura magnifica,5,10,15
Amakusanthura signata,4,3,7
Ambidexter symmetricus,1,0,1
Ampelisca abdita,1,0,1
Ampelisca bicarinata,0,2,2
Ampelisca sp,0,7,7
Ampithoe ramondi,1,0,1
Ampithoe sp,0,5,5
Anamixis cavatura,3,0,3
Anthuridea,0,1,1
Apanthura cracenta,5,14,19
Apseudes orghidani,0,4,4
Apseudes sp A ,41,288,329
Apseudomorpha sp A,1,37,38
Automate dolichognatha,1,1,2
Axiidae,0,1,1
Batea cuspidata,2,0,2
Bemlos sp,0,1,1
Bodotriidae A,0,1,1
Calcinus tibicen,1,0,1
Calyptolana hancocki,1,0,1
Campylaspis heardi,0,1,1
Carpias algicola,2,5,7
Carpias triton,0,1,1
Ceradocus sheardi ,18,1,19
Chevalia aviculae,12,60,72
Chondrochelia dubia ,147,162,309
Cirolana parva ,90,69,159
Clibabarius tricolor,1,0,1
Colanthura sp,0,1,1
Colomastix janiceae,0,4,4
Concarnes concavus,0,1,1
Cortezura  confixa,0,1,1
Cuapetes americanus,3,1,4
Cubanocuma gutzi,0,1,1
Cumella clavicauda,0,2,2
Cumella garrityi,0,2,2
Cumella goesi,0,1,1
Cumella gomoiui,0,1,1
Cumella muriarui,0,1,1
Cumella ruetzleri,0,1,1
Cumella sp G,2,1,3
Cumella vicina,0,4,4
Cymodoce ruetzleri,14,5,19
Cymodoce sp,2,0,2
Dicerceis kensleyi,0,1,1
Diogenidae,2,0,2
Dumosus sp,6,6,12
Dynameninae A,0,3,3
Dyscapseudes sp,2,0,2
Elasmopus levis,17,2,19
Elasmopus rapax ,48,23,71
Eobrolgus sp,0,11,11
Eurydice convexa,0,2,2
Excorallana antillensis,0,5,5
Gammaropsis atlantica,16,26,42
Geocerceis barbarae,12,1,13
Gibberosus myersi,0,3,3
Globosolembos smithi ,2,3,5
Gnathia beethoveni,1,0,1
Gnathia magdalensis,21,4,25
Gnathia puertoricensis,12,26,38
Gnathia sp,34,112,146
Gnathia vellosa,3,9,12
Gnathia virginalis,4,32,36
Gnathostenetroides pugio,0,8,8
Hansenium stebbingi,8,6,14
Hargeria rapax,0,8,8
Hemiproto wigleyi,1,3,4
Hemus cristulipes,1,3,4
Hemus sp,1,0,1
Hippolyte curacaoensis,1,0,1
Hippomedon sp,0,1,1
Hourstonius tortugae,2,0,2
Idunella sp,0,1,1
Joeropsis  bifasciatum,3,3,6
Joeropsis personatus,0,1,1
Lembos unifasciatus,1,0,1
Leucon sp,1,1,2
Leucothoe laurensi,0,3,3
Leucothoe spinicarpa,2,1,3
Liljeborgia sp,1,9,10
Limnoria platycauda,0,1,1
Lysianopsis alba,9,1,10
Lysmata intermedia,2,0,2
Lysmata sp,1,0,1
Machatrium spathulicarpus,0,1,1
Maerella sp,0,8,8
Mancomunatinae ,1,0,1
Melita sp,0,1,1
Mesanthura bivittata,3,0,3
Mesanthura fasciata,3,0,3
Mesanthura hopkinsi,0,2,2
Mesanthura paucidens,0,1,1
Mesanthura pulchra,1,1,2
Mesanthura sp,0,1,1
Mesokalliapseudes bahamensis,0,1,1
Metacirolana agaricicola,0,1,1
Metacirolana halia,11,22,33
Metalpheus rostratipes,1,2,3
Metapenaeopsis martinella,0,2,2
Metarphinia floridana,1,2,3
Microprosthema  semilaeve,1,0,1
Mithraculus coryphe,20,14,34
Mithraculus forceps,10,5,15
Mithraculus sculptus,40,0,40
Mithrax sp,19,3,22
Neocirolana obtruncata,0,3,3
Netamelita barnardi  ,1,4,5
Nototanais sp,2,37,39
Nuuanu muelleri ,1,0,1
Omalacantha antillensis,6,1,7
Paguridae A ,1,0,1
Paguristes hernancortezi,1,1,2
Paguristes sp,3,1,4
Pagurotanais bouryi,0,1,1
Pagurus annulipes,1,0,1
Palaemonidae,1,2,3
Paracerceis caudata,15,4,19
Paradoxapseudes bermudeus,1,11,12
Paranthura floridensis,3,0,3
Parapseudes sp A ,3,12,15
Paratanais sp A,6,272,278
Pariphinotus seclusus ,2,0,2
Penaeidae,0,1,1
Pendanthura hendleri,1,44,45
Pendanthura sp,0,25,25
Periclimenaeus ascidarum,1,3,4
Periclimenes sp,1,2,3
Perioculodes cerasinus,1,1,2
Petrochirus diogenes,1,0,1
Petrolisthes galathinus,6,0,6
Pilumnus longleyi,2,0,2
Pitho aculeatha ,3,0,3
Pitho lherminieri,0,5,5
Pitho mirabilis,5,0,5
Pitho sp,5,0,5
Processa profunda,1,1,2
Processa riveroi,1,1,2
Processa sp,1,0,1
Psammokalliapseudes granulosus,0,2,2
Pseudoampithoides incurvaria  ,9,3,12
Pseudoapseudomorpha sp A,0,3,3
Pseudoleptochelia sp A ,23,200,223
Quadrimaera quadrimana,1,0,1
Rostronia sp,0,1,1
Salmoneus sp,1,0,1
Schizotrema agglutinanta,7,0,7
Sinelobus stanfordi,15,60,75
Stenetrium bowmani,4,0,4
Lyocorype minocule,1,4,5
Stenetrium serratum,0,3,3
Stenobermuda sp ,1,0,1
Synalpheus anasimus,0,2,2
Synopia sp,1,0,1
Synopia ultramarina,0,2,2
Thor floridanus,1,0,1
Thor sp,3,0,3
Upogebiidae sp,1,1,2
Uromunna reynoldsi,1,0,1
Vaunthompsonia floridana,0,2,2
Vaunthompsonia minor,0,2,2
Williamstimpsonia denticulatus,0,1,1
Xanthidae,2,0,2
Zeuxo kurilensis,3,39,42
